Path                                                                  Owner                    
----                                                                  -----                    
OU=OwnerRightsTest,DC=capcom,DC=local                                 CAPCOM\Domain Admins     
CN=PC1byOwnershipTestDJWD,OU=OwnerRightsTest,DC=capcom,DC=local       CAPCOM\OwnershipTestDJWD 
CN=PC1byOwnershipTestDOCC,OU=OwnerRightsTest,DC=capcom,DC=local       CAPCOM\OwnershipTestDOCC 
CN=PC1byOTURAJWD,OU=OwnerRightsTest,DC=capcom,DC=local                CAPCOM\Domain Admins     
CN=PC1byOTAU,OU=OwnerRightsTest,DC=capcom,DC=local                    CAPCOM\Domain Admins     
CN=PC1byOTSA1,OU=OwnerRightsTest,DC=capcom,DC=local                   CAPCOM\Domain Admins     
OU=OUbyOwnershipTestEA,OU=OwnerRightsTest,DC=capcom,DC=local          CAPCOM\Enterprise Admins 
CN=User1by OwnershipTestEA,OU=OwnerRightsTest,DC=capcom,DC=local      CAPCOM\Enterprise Admins 
CN=PC1byOwnershipTestEA,OU=OwnerRightsTest,DC=capcom,DC=local         CAPCOM\Enterprise Admins 
OU=OUbyOwnershipTestDA,OU=OwnerRightsTest,DC=capcom,DC=local          CAPCOM\Domain Admins     
CN=User1by OwnershipTestDA,OU=OwnerRightsTest,DC=capcom,DC=local      CAPCOM\Domain Admins     
CN=PC1byOwnershipTestDA,OU=OwnerRightsTest,DC=capcom,DC=local         CAPCOM\Domain Admins     
OU=OUbyOwnershipTestAdmin,OU=OwnerRightsTest,DC=capcom,DC=local       CAPCOM\OwnershipTestAdmin
CN=User1by OwnershipTestAdmin,OU=OwnerRightsTest,DC=capcom,DC=local   CAPCOM\OwnershipTestAdmin
CN=PC1byOwnershipTestAdmin,OU=OwnerRightsTest,DC=capcom,DC=local      CAPCOM\OwnershipTestAdmin
CN=User1by OwnershipTestAO,OU=OwnerRightsTest,DC=capcom,DC=local      CAPCOM\OwnershipTestAO   
CN=PC1byOwnershipTestAO,OU=OwnerRightsTest,DC=capcom,DC=local         CAPCOM\OwnershipTestAO   
OU=OUbyOwnershipTestDFCD,OU=OwnerRightsTest,DC=capcom,DC=local        CAPCOM\OwnershipTestDFCD 
CN=User1by OwnershipTestDFCD,OU=OwnerRightsTest,DC=capcom,DC=local    CAPCOM\OwnershipTestDFCD 
CN=PC1byOwnershipTestDFCD,OU=OwnerRightsTest,DC=capcom,DC=local       CAPCOM\OwnershipTestDFCD 
OU=OUbyOwnershipTestDFCO,OU=OwnerRightsTest,DC=capcom,DC=local        CAPCOM\OwnershipTestDFCO 
CN=User1by OwnershipTestDFCO,OU=OwnerRightsTest,DC=capcom,DC=local    CAPCOM\OwnershipTestDFCO 
CN=PC1byOwnershipTestDFCO,OU=OwnerRightsTest,DC=capcom,DC=local       CAPCOM\OwnershipTestDFCO 
